Label,Type,Symbol,Rank,Description,Name on GPS,Comment,Latitude,Longitude,Elevation,Distance to Active Point,Bearing
101,,"Flag, Blue",1,,193,,07.4899158,003.8833010,777.598,0000.0000,0000.0000
102,,"Flag, Blue",2,,194,,07.4899403,003.8832799,776.299,0000.0000,0000.0000
104,,"Flag, Blue",3,,195,,07.4900002,003.8832298,777.900,0000.0000,0000.0000
105,,"Flag, Blue",4,,196,,07.4900332,003.8832031,774.800,0000.0000,0000.0000
106,,"Flag, Blue",5,,197,,07.4900647,003.8831768,777.402,0000.0000,0000.0000
107,,"Flag, Blue",6,,198,,07.4900514,003.8830942,775.098,0000.0000,0000.0000
108,,"Flag, Blue",7,,199,,07.4900217,003.8831209,773.999,0000.0000,0000.0000
109,,"Flag, Blue",8,,200,,07.4899942,003.8831461,774.301,0000.0000,0000.0000
110,,"Flag, Blue",9,,201,,07.4899632,003.8831727,772.201,0000.0000,0000.0000
111,,"Flag, Blue",10,,202,,07.4899302,003.8832015,770.801,0000.0000,0000.0000
112,,"Flag, Blue",11,,203,,07.4899018,003.8832261,771.099,0000.0000,0000.0000
113,,"Flag, Blue",12,,204,,07.4898378,003.8831936,771.699,0000.0000,0000.0000
114,,"Flag, Blue",13,,205,,07.4898637,003.8831726,774.000,0000.0000,0000.0000
115,,"Flag, Blue",14,,206,,07.4898921,003.8831476,773.200,0000.0000,0000.0000
116,,"Flag, Blue",15,,207,,07.4899244,003.8831209,772.800,0000.0000,0000.0000
117,,"Flag, Blue",16,,208,,07.4899564,003.8830945,774.800,0000.0000,0000.0000
118,,"Flag, Blue",17,,209,,07.4899875,003.8830698,777.900,0000.0000,0000.0000
119,,"Flag, Blue",18,,210,,07.4899800,003.8829941,779.800,0000.0000,0000.0000
120,,"Flag, Blue",19,,211,,07.4899526,003.8830199,780.000,0000.0000,0000.0000
121,,"Flag, Blue",20,,212,,07.4899228,003.8830459,778.400,0000.0000,0000.0000
122,,"Flag, Blue",21,,213,,07.4898900,003.8830731,777.700,0000.0000,0000.0000
123,,"Flag, Blue",22,,214,,07.4898582,003.8831011,773.700,0000.0000,0000.0000
124,,"Flag, Blue",23,,215,,07.4898304,003.8831247,771.900,0000.0000,0000.0000
125,,"Flag, Blue",24,,216,,07.4897663,003.8830978,775.500,0000.0000,0000.0000
126,,"Flag, Blue",25,,217,,07.4897930,003.8830755,777.400,0000.0000,0000.0000
