Label,Type,Symbol,Rank,Description,Name on GPS,Comment,Latitude,Longitude,Elevation,Distance to Active Point,Bearing
101,,"Flag, Blue",1,,1,,07.5016883,003.8946372,697.999,0000.0000,0000.0000
102,,"Flag, Blue",2,,2,,07.5016623,003.8946033,697.402,0000.0000,0000.0000
103,,"Flag, Blue",3,,3,,07.5016357,003.8945696,697.799,0000.0000,0000.0000
104,,"Flag, Blue",4,,4,,07.5016079,003.8945362,699.501,0000.0000,0000.0000
105,,"Flag, Blue",5,,5,,07.5015810,003.8945002,697.500,0000.0000,0000.0000
106,,"Flag, Blue",6,,6,,07.5015514,003.8944630,695.899,0000.0000,0000.0000
107,,"Flag, Blue",7,,7,,07.5015176,003.8944240,694.199,0000.0000,0000.0000
108,,"Flag, Blue",8,,8,,07.5014826,003.8944861,692.100,0000.0000,0000.0000
110,,"Flag, Blue",9,,9,,07.5015431,003.8945483,692.001,0000.0000,0000.0000
111,,"Flag, Blue",10,,10,,07.5015749,003.8945797,692.598,0000.0000,0000.0000
112,,"Flag, Blue",11,,11,,07.5016038,003.8946209,695.299,0000.0000,0000.0000
113,,"Flag, Blue",12,,12,,07.5016288,003.8946523,695.899,0000.0000,0000.0000
114,,"Flag, Blue",13,,13,,07.5016532,003.8946882,698.599,0000.0000,0000.0000
115,,"Flag, Blue",14,,14,,07.5016308,003.8947247,695.600,0000.0000,0000.0000
116,,"Flag, Blue",15,,15,,07.5016006,003.8946965,694.902,0000.0000,0000.0000
117,,"Flag, Blue",16,,16,,07.5015713,003.8946646,691.601,0000.0000,0000.0000
118,,"Flag, Blue",17,,17,,07.5015453,003.8946217,695.000,0000.0000,0000.0000
119,,"Flag, Blue",18,,18,,07.5015147,003.8945891,693.701,0000.0000,0000.0000
120,,"Flag, Blue",19,,19,,07.5014808,003.8945584,687.500,0000.0000,0000.0000
121,,"Flag, Blue",20,,20,,07.5014457,003.8945250,689.902,0000.0000,0000.0000
122,,"Flag, Blue",21,,21,,07.5014061,003.8945766,689.101,0000.0000,0000.0000
123,,"Flag, Blue",22,,22,,07.5014364,003.8946148,689.600,0000.0000,0000.0000
124,,"Flag, Blue",23,,23,,07.5014666,003.8946417,691.401,0000.0000,0000.0000
125,,"Flag, Blue",24,,24,,07.5014986,003.8946710,688.100,0000.0000,0000.0000
126,,"Flag, Blue",25,,25,,07.5015332,003.8947119,687.300,0000.0000,0000.0000
127,,"Flag, Blue",26,,26,,07.5015696,003.8947416,690.299,0000.0000,0000.0000
128,,"Flag, Blue",27,,27,,07.5015968,003.8947738,690.499,0000.0000,0000.0000
129,,"Flag, Blue",28,,28,,07.5015663,003.8948080,691.401,0000.0000,0000.0000
130,,"Flag, Blue",29,,29,,07.5015284,003.8947817,692.500,0000.0000,0000.0000
131,,"Flag, Blue",30,,30,,07.5014904,003.8947465,691.299,0000.0000,0000.0000
132,,"Flag, Blue",31,,31,,07.5014605,003.8947169,691.699,0000.0000,0000.0000
201,,"Flag, Blue",32,,33,,07.5013224,003.8946539,692.402,0000.0000,0000.0000
202,,"Flag, Blue",33,,34,,07.5013590,003.8946914,686.699,0000.0000,0000.0000
203,,"Flag, Blue",34,,35,,07.5013901,003.8947243,691.699,0000.0000,0000.0000
204,,"Flag, Blue",35,,36,,07.5014214,003.8947580,692.300,0000.0000,0000.0000
205,,"Flag, Blue",36,,37,,07.5014524,003.8947907,693.799,0000.0000,0000.0000
206,,"Flag, Blue",37,,38,,07.5014835,003.8948236,690.801,0000.0000,0000.0000
207,,"Flag, Blue",38,,39,,07.5015157,003.8948549,690.600,0000.0000,0000.0000
208,,"Flag, Blue",39,,40,,07.5014799,003.8949016,691.900,0000.0000,0000.0000
209,,"Flag, Blue",40,,41,,07.5014462,003.8948688,694.101,0000.0000,0000.0000
210,,"Flag, Blue",41,,42,,07.5014144,003.8948360,691.699,0000.0000,0000.0000
211,,"Flag, Blue",42,,43,,07.5013829,003.8948050,693.199,0000.0000,0000.0000
212,,"Flag, Blue",43,,44,,07.5013509,003.8947715,703.599,0000.0000,0000.0000
213,,"Flag, Blue",44,,45,,07.5013178,003.8947403,693.999,0000.0000,0000.0000
214,,"Flag, Blue",45,,46,,07.5012811,003.8947021,692.300,0000.0000,0000.0000
215,,"Flag, Blue",46,,47,,07.5012384,003.8947533,690.699,0000.0000,0000.0000
216,,"Flag, Blue",47,,48,,07.5012746,003.8947905,692.100,0000.0000,0000.0000
217,,"Flag, Blue",48,,49,,07.5013065,003.8948222,691.299,0000.0000,0000.0000
218,,"Flag, Blue",49,,50,,07.5013411,003.8948556,690.200,0000.0000,0000.0000
219,,"Flag, Blue",50,,51,,07.5013711,003.8948877,690.299,0000.0000,0000.0000
220,,"Flag, Blue",51,,52,,07.5014051,003.8949215,690.400,0000.0000,0000.0000
221,,"Flag, Blue",52,,53,,07.5014370,003.8949559,690.098,0000.0000,0000.0000
222,,"Flag, Blue",53,,54,,07.5013970,003.8950075,692.900,0000.0000,0000.0000
223,,"Flag, Blue",54,,55,,07.5013624,003.8949740,693.501,0000.0000,0000.0000
