Label,Type,Symbol,Rank,Description,Name on GPS,Comment,Latitude,Longitude,Elevation,Distance to Active Point,Bearing
101,,"Flag, Blue",1,,97,,07.5011883,003.8953429,695.699,0000.0000,0000.0000
102,,"Flag, Blue",2,,98,,07.5011475,003.8953167,697.001,0000.0000,0000.0000
103,,"Flag, Blue",3,,99,,07.5011038,003.8952887,695.000,0000.0000,0000.0000
104,,"Flag, Blue",4,,100,,07.5010550,003.8952597,694.701,0000.0000,0000.0000
105,,"Flag, Blue",5,,101,,07.5010176,003.8952316,696.099,0000.0000,0000.0000
106,,"Flag, Blue",6,,102,,07.5009702,003.8952012,699.600,0000.0000,0000.0000
107,,"Flag, Blue",7,,103,,07.5009291,003.8951743,698.599,0000.0000,0000.0000
114,,"Flag, Blue",8,,104,,07.5009094,003.8952363,695.899,0000.0000,0000.0000
113,,"Flag, Blue",9,,105,,07.5009498,003.8952651,696.601,0000.0000,0000.0000
112,,"Flag, Blue",10,,106,,07.5009938,003.8952918,697.201,0000.0000,0000.0000
111,,"Flag, Blue",11,,107,,07.5010360,003.8953186,696.699,0000.0000,0000.0000
110,,"Flag, Blue",12,,108,,07.5010847,003.8953522,697.900,0000.0000,0000.0000
109,,"Flag, Blue",13,,109,,07.5011260,003.8953820,696.601,0000.0000,0000.0000
108,,"Flag, Blue",14,,110,,07.5011701,003.8954139,695.098,0000.0000,0000.0000
120,,"Flag, Blue",15,,111,,07.5011063,003.8954449,696.801,0000.0000,0000.0000
119,,"Flag, Blue",16,,112,,07.5010621,003.8954182,698.799,0000.0000,0000.0000
118,,"Flag, Blue",17,,113,,07.5010151,003.8953844,698.399,0000.0000,0000.0000
117,,"Flag, Blue",18,,114,,07.5009724,003.8953605,695.400,0000.0000,0000.0000
116,,"Flag, Blue",19,,115,,07.5009283,003.8953316,695.899,0000.0000,0000.0000
115,,"Flag, Blue",20,,116,,07.5008841,003.8953050,695.899,0000.0000,0000.0000
126,,"Flag, Blue",21,,117,,07.5008590,003.8953708,694.101,0000.0000,0000.0000
125,,"Flag, Blue",22,,118,,07.5009045,003.8954007,695.600,0000.0000,0000.0000
124,,"Flag, Blue",23,,119,,07.5009491,003.8954267,692.500,0000.0000,0000.0000
123,,"Flag, Blue",24,,120,,07.5009898,003.8954510,690.899,0000.0000,0000.0000
122,,"Flag, Blue",25,,121,,07.5010417,003.8954802,695.200,0000.0000,0000.0000
121,,"Flag, Blue",26,,122,,07.5010837,003.8955066,694.199,0000.0000,0000.0000
132,,"Flag, Blue",27,,123,,07.5010645,003.8955701,692.500,0000.0000,0000.0000
131,,"Flag, Blue",28,,124,,07.5010200,003.8955395,692.900,0000.0000,0000.0000
130,,"Flag, Blue",29,,125,,07.5009685,003.8955111,694.902,0000.0000,0000.0000
128,,"Flag, Blue",30,,127,,07.5008844,003.8954594,694.701,0000.0000,0000.0000
127,,"Flag, Blue",31,,128,,07.5008400,003.8954341,691.801,0000.0000,0000.0000
206,,"Flag, Blue",32,,129,,07.5008162,003.8954964,690.400,0000.0000,0000.0000
205,,"Flag, Blue",33,,130,,07.5008613,003.8955196,691.801,0000.0000,0000.0000
204,,"Flag, Blue",34,,131,,07.5009106,003.8955475,694.701,0000.0000,0000.0000
203,,"Flag, Blue",35,,132,,07.5009509,003.8955689,691.201,0000.0000,0000.0000
202,,"Flag, Blue",36,,133,,07.5009953,003.8955985,692.999,0000.0000,0000.0000
201,,"Flag, Blue",37,,134,,07.5010445,003.8956230,697.900,0000.0000,0000.0000
212,,"Flag, Blue",38,,135,,07.5010236,003.8956824,692.500,0000.0000,0000.0000
211,,"Flag, Blue",39,,136,,07.5009780,003.8956529,693.901,0000.0000,0000.0000
210,,"Flag, Blue",40,,137,,07.5009291,003.8956254,696.401,0000.0000,0000.0000
209,,"Flag, Blue",41,,138,,07.5008836,003.8956043,697.598,0000.0000,0000.0000
208,,"Flag, Blue",42,,139,,07.5008401,003.8955792,698.301,0000.0000,0000.0000
207,,"Flag, Blue",43,,140,,07.5007980,003.8955559,698.999,0000.0000,0000.0000
217,,"Flag, Blue",44,,142,,07.5008193,003.8956404,695.899,0000.0000,0000.0000
216,,"Flag, Blue",45,,143,,07.5008630,003.8956648,697.402,0000.0000,0000.0000
215,,"Flag, Blue",46,,144,,07.5009087,003.8956868,698.599,0000.0000,0000.0000
214,,"Flag, Blue",47,,145,,07.5009579,003.8957121,698.199,0000.0000,0000.0000
213,,"Flag, Blue",48,,146,,07.5010058,003.8957359,702.100,0000.0000,0000.0000
224,,"Flag, Blue",49,,147,,07.5009842,003.8958034,701.299,0000.0000,0000.0000
223,,"Flag, Blue",50,,148,,07.5009379,003.8957759,702.201,0000.0000,0000.0000
222,,"Flag, Blue",51,,149,,07.5008875,003.8957493,702.402,0000.0000,0000.0000
221,,"Flag, Blue",52,,150,,07.5008447,003.8957237,702.001,0000.0000,0000.0000
220,,"Flag, Blue",53,,151,,07.5007989,003.8956997,701.401,0000.0000,0000.0000
219,,"Flag, Blue",54,,152,,07.5007513,003.8956787,690.899,0000.0000,0000.0000
230,,"Flag, Blue",55,,153,,07.5007298,003.8957445,686.201,0000.0000,0000.0000
229,,"Flag, Blue",56,,154,,07.5007729,003.8957642,688.501,0000.0000,0000.0000
228,,"Flag, Blue",57,,155,,07.5008203,003.8957900,693.301,0000.0000,0000.0000
227,,"Flag, Blue",58,,156,,07.5008665,003.8958122,692.100,0000.0000,0000.0000
226,,"Flag, Blue",59,,157,,07.5009159,003.8958395,693.799,0000.0000,0000.0000
225,,"Flag, Blue",60,,158,,07.5009643,003.8958615,697.201,0000.0000,0000.0000
303,,"Flag, Blue",61,,159,,07.5008973,003.8958969,689.199,0000.0000,0000.0000
301,,"Flag, Blue",62,,160,,07.5008001,003.8958477,688.999,0000.0000,0000.0000
232,,"Flag, Blue",63,,161,,07.5007527,003.8958276,691.099,0000.0000,0000.0000
231,,"Flag, Blue",64,,162,,07.5007093,003.8958017,688.399,0000.0000,0000.0000
309,,"Flag, Blue",65,,163,,07.5006835,003.8958617,692.201,0000.0000,0000.0000
308,,"Flag, Blue",66,,164,,07.5007324,003.8958838,692.700,0000.0000,0000.0000
307,,"Flag, Blue",67,,165,,07.5007802,003.8959075,692.402,0000.0000,0000.0000
306,,"Flag, Blue",68,,166,,07.5008243,003.8959292,690.899,0000.0000,0000.0000
305,,"Flag, Blue",69,,167,,07.5008757,003.8959542,690.299,0000.0000,0000.0000
304,,"Flag, Blue",70,,168,,07.5009229,003.8959806,690.600,0000.0000,0000.0000
315,,"Flag, Blue",71,,169,,07.5008993,003.8960464,687.001,0000.0000,0000.0000
314,,"Flag, Blue",72,,170,,07.5008557,003.8960198,687.799,0000.0000,0000.0000
313,,"Flag, Blue",73,,171,,07.5008000,003.8959946,686.201,0000.0000,0000.0000
312,,"Flag, Blue",74,,172,,07.5007581,003.8959690,687.900,0000.0000,0000.0000
311,,"Flag, Blue",75,,173,,07.5007105,003.8959470,688.999,0000.0000,0000.0000
310,,"Flag, Blue",76,,174,,07.5006661,003.8959210,690.000,0000.0000,0000.0000
320,,"Flag, Blue",77,,176,,07.5007320,003.8960347,693.100,0000.0000,0000.0000
318,,"Flag, Blue",78,,177,,07.5007767,003.8960576,695.200,0000.0000,0000.0000
317,,"Flag, Blue",79,,178,,07.5008318,003.8960793,691.299,0000.0000,0000.0000
316,,"Flag, Blue",80,,179,,07.5008797,003.8961065,691.801,0000.0000,0000.0000
325,,"Flag, Blue",81,,180,,07.5008635,003.8961592,690.899,0000.0000,0000.0000
324,,"Flag, Blue",82,,181,,07.5008140,003.8961454,691.499,0000.0000,0000.0000
323,,"Flag, Blue",83,,182,,07.5007624,003.8961148,687.402,0000.0000,0000.0000
322,,"Flag, Blue",84,,183,,07.5007196,003.8960885,685.801,0000.0000,0000.0000
