Trait,ACCESSION,AG.40,IB.40,MK.40,ON.40,OT.40,UB.40,Combined
DYLD,TMS15F1302P0027,7.22,5.24,2.91,8.3,10,5.6,6.55
DYLD,TMS15F1310P0019,6.83,6.07,3.27,8.39,8.51,5.37,6.41
DYLD,TMS15F1474P0007,6.47,7.15,3.02,7.62,8.2,5.09,6.26
DYLD,TMS16F1078P0006,7.02,6.3,2.62,8.49,8,5.61,6.34
DYLD,TMS16F1155P0004,6.12,3.65,2.45,6.08,8.59,4.8,5.28
DYLD,TMS16F1507P0019,7.87,8.69,3.66,9.68,11.04,5.85,7.8
DYLD,TMS16F1522P0022,6.11,7.49,3.34,6.33,7.92,7.52,6.45
DYLD,TMS16F2003P0029,7.01,7.97,2.23,8.48,9.69,7.32,7.12
DYLD,TMS16F2006P0038,7.64,5.74,2.42,9.34,9.83,7.01,7
DYLD,TMS18F1047P0024,7.03,7.28,3.24,7.89,8.75,5.96,6.69
DYLD,TMS18F1092P0007,6.78,6.44,3.66,8.81,8.7,6.18,6.76
DYLD,TMS18F1108P0012,6.35,7.59,3.33,7.04,8.13,5.34,6.3
DYLD,TMS18F1163P0020,6.08,4.63,3,6.38,7.63,4.19,5.32
DYLD,TMS18F1173P0009,5.44,4.55,2.75,5.48,6.67,4.48,4.89
DYLD,TMS18F1175P0039,6.58,6.41,3.01,7.89,9.12,3.61,6.1
DYLD,TMS18F1275P0004,5.52,5.37,2.46,6.36,7.44,4.31,5.24
DYLD,TMS18F1288P0021,6.1,5.09,3.18,7.43,8.16,3.29,5.54
DYLD,TMS18F1297P0008,7.93,7.82,3.94,10.12,9.84,5.98,7.6
DYLD,TMS18F1298P0026,6.24,6.19,3.27,6.73,8.44,5.76,6.1
DYLD,TMS18F1302P0057,7.57,7.01,2.51,10.26,9.64,5.53,7.09
DYLD,TMS18F1307P0038,6.42,5.47,3.41,6.23,9.38,4.35,5.88
DYLD,TMS18F1307P0077,5.43,5.04,2.37,6.43,6.89,3.1,4.88
DYLD,TMS18F1309P0044,7.28,6.58,3.4,9.48,8.94,6.09,6.96
DYLD,TMS18F1331P0005,6.9,7.92,3.08,8.1,8.92,6.3,6.87
DYLD,TMS18F1336P0029,6,6.51,3,5.92,7.95,5.87,5.87
DYLD,TMS18F1339P0034,6.9,8.59,2.7,7.75,9.96,6.03,6.99
DYLD,TMS18F1352P0015,7.45,7.33,3.76,8.53,9.6,5.6,7.05
DYLD,TMS18F1472P0039,5.91,6.41,2.65,6.43,7.9,4.89,5.7
DYLD,TMS18F1481P0029,5.87,9.06,2.88,5.46,7.9,6.69,6.31
DYLD,TMS18F1481P0075,6.64,8.35,3.58,6.95,9.06,7.61,7.03
DYLD,TMS18F1485P0028,5.99,5.92,3.14,6.26,7.83,4.08,5.54
DYLD,TMS18F1562P0004,5.98,6.37,4.13,6.09,9.05,4.46,6.01
DYLD,IITA-TMS-IBA000070,7.71,7.72,2.85,8.47,10.38,6.68,7.3
DYLD,IITA-TMS-IBA30572,4.05,4.44,2.41,2.52,5.9,2.11,3.57
DYLD,IITA-TMS-IBA980581,6,5.8,2.88,5.66,7.92,5.35,5.6
DYLD,IITA-TMS-IBA982101,6.41,4.32,2.6,6.65,8.75,5.5,5.7
DYLD,TMEB419,5.75,5.07,3.2,6.52,8.26,4.63,5.57
DYLD,TMS13F1160P0004,6.51,7.55,2.69,8.28,7.76,5.47,6.38
DYLD,TMS13F1343P0022,6.81,8.09,2.82,8.31,6.94,5.78,6.46
DYLD,TMS14F1036P0007,8.27,8.57,3.27,10.16,11.34,7.39,8.17
